8,11,35,39,42,47,END
1,3,7,12,28,32,END
12,19,30,38,39,47,END
2,17,24,29,36,37,END
11,22,24,30,34,40,END
3,16,20,29,30,43,END
1,4,11,29,30,41,END
3,25,26,28,34,39,END
5,22,29,44,45,49,END
13,17,28,33,35,39,END
10,11,16,28,29,48,END
6,19,21,23,28,33,END
4,12,13,32,36,41,END
5,11,14,15,31,43,END
10,12,15,19,37,38,END
2,3,8,9,34,46,END
15,20,28,38,41,49,END
5,8,11,13,26,33,END
6,33,34,36,41,43,END
10,11,20,28,32,36,END
13,14,30,31,37,49,END
10,12,19,36,37,48,END
8,16,24,27,43,47,END
1,15,26,38,44,49,END
2,20,33,43,44,47,END
2,14,20,31,36,38,END
15,17,23,35,36,38,END
4,21,23,34,37,39,END
2,9,29,36,37,43,END
7,8,18,35,41,47,END
